categoria,codigo_de_vehiculo,tipo_transaccion,marca,modelo,pais,ano_modelo,clase,sub_clase,tipo,avaluo,fecha_proceso,tipo_servicio,cilindraje,tipo_combustible,fecha_compra,canton,color_1,color_2,persona_natural__juridica,provincia
104497,10435493,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-10,PAR,150,GASOLINA,2025-12-09,GUAYAQUIL,ROJ,ROJ,NATURAL,GUAYAQUIL
104497,10435496,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-12,PAR,150,GASOLINA,2025-12-09,NOBOL (VICENTE PIEDRAHITA),ROJ,ROJ,NATURAL,NOBOL (VICENTE PIEDRAHITA)
104497,10435499,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-12,PAR,150,GASOLINA,2025-12-08,,ROJ,,NATURAL,
104497,10435283,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-09,PAR,150,GASOLINA,2025-12-07,IBARRA,ROJ,,NATURAL,IBARRA
104497,10435419,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-11,PAR,150,GASOLINA,2025-12-07,PASTAZA,VRD,VRD,NATURAL,PASTAZA
104497,10435532,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-10,PAR,150,GASOLINA,2025-12-07,NOBOL (VICENTE PIEDRAHITA),VRD,VRD,NATURAL,NOBOL (VICENTE PIEDRAHITA)
104497,10435308,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-10,PAR,150,GASOLINA,2025-12-06,QUITO,VRD,,NATURAL,QUITO
104497,10435482,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-10,PAR,150,GASOLINA,2025-12-06,GUAYAQUIL,ROJ,ROJ,NATURAL,GUAYAQUIL
104497,10439393,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-12,PAR,150,GASOLINA,2025-12-06,NOBOL (VICENTE PIEDRAHITA),VRD,VRD,NATURAL,NOBOL (VICENTE PIEDRAHITA)
104497,10439394,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-10,PAR,150,GASOLINA,2025-12-06,QUITO,ROJ,,NATURAL,QUITO
104497,10439396,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-11,PAR,150,GASOLINA,2025-12-06,BABAHOYO,ROJ,,NATURAL,BABAHOYO
104497,10434800,COMPRA LOCAL,TUKO,TK-H1,CHINA POPULAR,2027,MOTOCICLETA,PASEO,LIVIANO,1400.0,2025-12-05,PAR,150,GASOLINA,2025-12-04,SALITRE,VRD,,NATURAL,SALITRE
