AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|10|P|GUAYAS|BALZAR|310,1700|31932,7500|0,0000|0,0000|0,0000|9206,1100|2253,8700|0,0000|0,0000|11459,9800|32242,9200
2025|10|O|LOJA|GONZANAMA|559,0500|559,5000|0,0000|0,0000|0,0000|74861,2300|16573,5500|0,0000|0,0000|91434,7800|1118,5500
2025|10|H|LOS RIOS|BABAHOYO|165369,4200|1666850,4200|0,0000|0,0000|0,0000|423002,0700|1023013,9400|320747,7500|18170,7500|1784934,5100|1832219,8400
2025|10|N|MANABI|JIPIJAPA|71591,1200|3815,7600|25716,4000|0,0000|0,0000|27479,3000|13530,3400|0,0000|9516,3200|51625,9600|101123,2800
2025|10|H|MANABI|EL CARMEN|77597,2900|446499,2000|0,0000|4872,3800|0,0000|164079,7800|209911,3600|411,9900|2625,4300|378739,7400|528968,8700
2025|10|H|IMBABURA|ANTONIO ANTE|56153,3600|135583,7700|0,0000|0,0000|0,0000|104474,2900|32441,4600|0,0000|7090,0000|144239,0600|191737,1300
2025|10|O|CAÑAR|LA TRONCAL|19104,5700|178682,8700|0,0000|0,0000|0,0000|747607,3300|44431,4400|0,0000|153,5000|797429,7700|197787,4400
2025|10|P|LOJA|PUYANGO|452,9300|0,0000|0,0000|0,0000|0,0000|53,8700|10,0000|0,0000|0,0000|63,8700|452,9300
2025|10|A|EL ORO|LAS LAJAS|10658,2700|135155,5300|0,0000|4236,5300|0,0000|43444,8500|19608,4100|0,0000|3106,9000|70773,6600|150050,3300
2025|10|S|GUAYAS|SAMBORONDON|3887823,7500|2855176,5500|0,0000|0,0000|0,0000|2688474,4700|1062008,1500|40153,3400|116458,7700|3913635,2900|6743000,3000
2025|10|M|LOS RIOS|QUINSALOMA|50637,1600|114394,8200|0,0000|0,0000|0,0000|22286,9400|29138,3100|0,0000|190,0000|51615,2500|165031,9800
2025|10|F|LOS RIOS|QUEVEDO|1690973,3600|409029,0400|0,0000|713,9700|0,0000|1721787,4000|405775,4000|6736,6100|152238,6000|2380897,3100|2100716,3700
2025|10|M|MANABI|PAJAN|140166,9400|130459,3300|0,0000|0,0000|0,0000|197465,6900|27163,0100|0,0000|47369,7100|274845,5700|270626,2700
2025|10|F|PICHINCHA|SAN MIGUEL DE LOS BANCOS|13318,6800|39,0000|0,0000|500,0000|0,0000|52925,3300|2209,1500|0,0000|0,0000|60386,2600|13857,6800
2025|10|G|LOJA|CHAGUARPAMBA|47747,0200|148831,7900|0,0000|0,0000|0,0000|81771,5500|167809,2900|0,0000|220,0000|249800,8400|196578,8100
2025|10|G|AZUAY|GIRON|378850,3900|203686,2400|0,0000|31413,4800|0,0000|389867,3200|221754,3100|34029,3300|6831,7000|693159,8600|613950,1100
2025|10|P|EL ORO|EL GUABO|10916,4100|6244,0000|0,0000|0,0000|0,0000|17449,2800|5683,3200|0,0000|614,0000|23746,6000|17160,4100
2025|10|A|MORONA SANTIAGO|SANTIAGO|3171,5100|26343,6400|0,0000|0,0000|0,0000|7167,9300|27142,5400|0,0000|0,0000|34780,5100|29515,1500
2025|10|C|LOJA|PALTAS|3634,6400|72773,7000|0,0000|0,0000|0,0000|91486,4400|7066,1200|0,0000|1704,2500|100859,4300|76408,3400
2025|10|C|MANABI|PEDERNALES|90968,4300|175399,8500|0,0000|0,0000|4920193,0800|143493,1900|3590573,0900|0,0000|22944,3300|3757599,0900|5186561,3600
